UNIDAD,ZONA,PREFECTURA,MOTIVO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,HOMICIDIO FRUSTRADO 
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA BLANCA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,COHECHO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
